Word,Importance
smash,0.03524536723415034
mars,0.03520365771918396
pathetic,0.03513161896233684
##hos,0.03512021154222418
abs,0.03509754522495811
##fe,0.03509436750957726
sway,0.035086136568869934
nun,0.03508563495329895
faster,0.03507727159192753
uneven,0.035051316209836626
patents,0.03496881338377757
newspapers,0.03494366040388749
brock,0.034859255313348464
cake,0.034843315143538195
francis,0.03475514628729582
vital,0.03475048657182091
enroll,0.03454241654734764
reassuring,0.03444725008870388
##sy,0.03432748257315163
##fare,0.03432401894832683
passages,0.03415787027262582
prejudice,0.034104511056134615
diagnosis,0.03404914427214802
frances,0.03397231272128288
killers,0.03393078660796844
wished,0.033925093938893154
syndicate,0.03392278657995754
conclusion,0.033873201028942576
categories,0.03377448701467822
suburb,0.03369640228602899
difficulty,0.03364541236627023
